logTime,Instance ID,Is Retransmission,Path Id,Offset[cm],End Offset[cm],Lane Number,区画線数,対象の区画線ID,対象の区画線の親区画線のID,MMS測位誤差[mm],レーザー測位誤差[mm],道路構成地物ID,区画線種別,区画線付加属性フラグ,始点側線幅[cm],終点側線幅[cm]
906526,0x3ac3c,False,292,917825,925838,7,6,1.748801386482515e+18,-1,728.0,213.0,3221291776.0,1,0,20,20
1002959,0x3ac8d,False,285,925838,933820,7,6,1.748801386482515e+18,-1,721.0,197.0,3221291776.0,1,0,20,20
1002959,0x3ac8d,False,285,925838,933820,7,6,1.748801386482515e+18,-1,804.0,195.0,3221291520.0,2,0,15,15
1002959,0x3ac8d,False,285,925838,933820,7,6,1.7488013870193859e+18,-1,4294967295.0,4294967295.0,4294967295.0,-1,0,0,0
1002959,0x3ac8d,False,285,925838,933820,7,6,1.7488013870193859e+18,-1,4294967295.0,4294967295.0,4294967295.0,-1,0,0,0
1002959,0x3ac8d,False,285,925838,933820,7,6,1.748801386482515e+18,-1,776.0,210.0,3221291520.0,2,0,15,15
1002959,0x3ac8d,False,285,925838,933820,7,6,1.748801386482515e+18,-1,761.0,214.0,3221291776.0,1,0,20,20
1006270,0x3ac98,False,292,925838,933820,7,6,1.748801386482515e+18,-1,721.0,197.0,3221291776.0,1,0,20,20
1006270,0x3ac98,False,292,925838,933820,7,6,1.748801386482515e+18,-1,804.0,195.0,3221291520.0,2,0,15,15
1006270,0x3ac98,False,292,925838,933820,7,6,1.7488013870193859e+18,-1,4294967295.0,4294967295.0,4294967295.0,-1,0,0,0
1006270,0x3ac98,False,292,925838,933820,7,6,1.7488013870193859e+18,-1,4294967295.0,4294967295.0,4294967295.0,-1,0,0,0
1006270,0x3ac98,False,292,925838,933820,7,6,1.748801386482515e+18,-1,776.0,210.0,3221291520.0,2,0,15,15
1006270,0x3ac98,False,292,925838,933820,7,6,1.748801386482515e+18,-1,761.0,214.0,3221291776.0,1,0,20,20
1135931,0x3acf3,False,285,933820,941779,7,6,1.748801386482515e+18,-1,673.0,196.0,3221291776.0,1,0,20,20
1135931,0x3acf3,False,285,933820,941779,7,6,1.748801386482515e+18,-1,635.0,197.0,3221291520.0,2,0,15,15
1135931,0x3acf3,False,285,933820,941779,7,6,1.7488013870193859e+18,-1,4294967295.0,4294967295.0,4294967295.0,-1,0,0,0
