logTime,Instance ID,Is Retransmission,Path Id,Offset[cm],End Offset[cm],Lane Number,線形状情報数,ライン型地物ID,3D地物属性オプションフラグ,Type,形状要素点数,緯度[deg],経度[deg],高さ[m]
1739214,0x3af90,False,308,14968,22048,1,4,1.7488013864825152e+18,4,0,25,36.12584543324212,139.62766754897956,53.37
1739214,0x3af90,False,308,14968,22048,1,4,1.7488013864825152e+18,4,0,25,36.12584845072726,139.62763871523265,53.38
1739214,0x3af90,False,308,14968,22048,1,4,1.7488013864825152e+18,4,0,25,36.12584979183177,139.62760921093346,53.4
1739214,0x3af90,False,308,14968,22048,1,4,1.7488013864825152e+18,4,0,25,36.1258514682124,139.62758205356718,53.43
1739214,0x3af90,False,308,14968,22048,1,4,1.7488013864825152e+18,4,0,25,36.12585280931691,139.62755657258154,53.45
1739214,0x3af90,False,308,14968,22048,1,4,1.7488013864825152e+18,4,0,25,36.12585582680205,139.627504940058,53.52
1739214,0x3af90,False,308,14968,22048,1,4,1.7488013864825152e+18,4,0,25,36.125858844287194,139.6274516311538,53.58
1739214,0x3af90,False,308,14968,22048,1,4,1.7488013864825152e+18,4,0,25,36.12586253232459,139.6273989928019,53.65
1739214,0x3af90,False,308,14968,22048,1,4,1.7488013864825152e+18,4,0,25,36.125866220361985,139.62734668972607,53.72
1739214,0x3af90,False,308,14968,22048,1,4,1.7488013864825152e+18,4,0,25,36.12587158478002,139.62729170444126,53.81
1739214,0x3af90,False,308,14968,22048,1,4,1.7488013864825152e+18,4,0,25,36.125874602265164,139.6272648823511,53.85
1739214,0x3af90,False,308,14968,22048,1,4,1.7488013864825152e+18,4,0,25,36.12587896085481,139.62723470749967,53.91
1739214,0x3af90,False,308,14968,22048,1,4,1.7488013864825152e+18,4,0,25,36.12588365472059,139.62720788540952,53.96
1739214,0x3af90,False,308,14968,22048,1,4,1.7488013864825152e+18,4,0,25,36.125889354414745,139.62717737528197,54.03
1739214,0x3af90,False,308,14968,22048,1,4,1.7488013864825152e+18,4,0,25,36.12589438355665,139.62715222957246,54.07
1739214,0x3af90,False,308,14968,22048,1,4,1.7488013864825152e+18,4,0,25,36.12590142435532,139.62712339582552,54.13
1739214,0x3af90,False,308,14968,22048,1,4,1.7488013864825152e+18,4,0,25,36.12590779460173,139.627098250116,54.18
1739214,0x3af90,False,308,14968,22048,1,4,1.7488013864825152e+18,4,0,22,36.125853479869164,139.62788648429046,53.47
