logTime,Instance ID,Is Retransmission,Path Id,Offset[cm],End Offset[cm],Lane Number,レーン形状情報数,Lane ID,Type,形状要素点数,緯度[deg],経度[deg],高さ[cm],形状インデックス
72424,0x3fc0c,False,285,2379470,2387488,7,3,5130010000000632832,0,17,36.234785028787975,139.57470699669204,6238,7
72424,0x3fc0c,False,285,2379470,2387488,7,3,5130010000000632832,0,17,36.23482861468448,139.57471806080423,6235,8
72424,0x3fc0c,False,285,2379470,2387488,7,3,5130010000000632832,0,17,36.23486985364809,139.57472845436416,6232,9
72424,0x3fc0c,False,285,2379470,2387488,7,3,5130010000000632832,0,17,36.23491142788784,139.57473918320022,6230,10
72424,0x3fc0c,False,285,2379470,2387488,7,3,5130010000000632832,0,17,36.23495870182173,139.57475058258854,6226,11
72424,0x3fc0c,False,285,2379470,2387488,7,3,5130010000000632832,0,17,36.23500396409887,139.57476164670072,6222,12
72424,0x3fc0c,False,285,2379470,2387488,7,3,5130010000000632832,0,17,36.23504889109988,139.5747733813652,6219,13
72424,0x3fc0c,False,285,2379470,2387488,7,3,5130010000000632832,0,17,36.235093482824766,139.5747847807535,6216,14
72424,0x3fc0c,False,285,2379470,2387488,7,3,5130010000000632832,0,17,36.235139080378026,139.57479618014182,6213,15
72424,0x3fc0c,False,285,2379470,2387488,7,3,5130010000000632832,0,17,36.23517763713262,139.57480556787337,6210,16
72424,0x3fc0c,False,285,2379470,2387488,7,3,5130010000000632851,0,17,36.2344604814971,139.57466575772844,6269,0
72424,0x3fc0c,False,285,2379470,2387488,7,3,5130010000000632851,0,17,36.23450976708776,139.57467816294513,6265,1
72424,0x3fc0c,False,285,2379470,2387488,7,3,5130010000000632851,0,17,36.234553352984264,139.57468922705732,6262,2
72424,0x3fc0c,False,285,2379470,2387488,7,3,5130010000000632851,0,17,36.234598950537524,139.57470096172176,6258,3
72424,0x3fc0c,False,285,2379470,2387488,7,3,5130010000000632851,0,17,36.23464354226241,139.57471236111007,6255,4
72424,0x3fc0c,False,285,2379470,2387488,7,3,5130010000000632851,0,17,36.23468913981567,139.57472476632677,6252,5
72424,0x3fc0c,False,285,2379470,2387488,7,3,5130010000000632851,0,17,36.2347367490257,139.5747365009912,6249,6
72424,0x3fc0c,False,285,2379470,2387488,7,3,5130010000000632851,0,17,36.23477832326544,139.57474722982727,6246,7
72424,0x3fc0c,False,285,2379470,2387488,7,3,5130010000000632851,0,17,36.23482157388582,139.57475829393945,6243,8
72424,0x3fc0c,False,285,2379470,2387488,7,3,5130010000000632851,0,17,36.234863148125555,139.57476902277554,6241,9
72424,0x3fc0c,False,285,2379470,2387488,7,3,5130010000000632851,0,17,36.23490505764142,139.57477941633547,6238,10
72424,0x3fc0c,False,285,2379470,2387488,7,3,5130010000000632851,0,17,36.234951996299195,139.5747908157238,6234,11
72424,0x3fc0c,False,285,2379470,2387488,7,3,5130010000000632851,0,17,36.23499826440471,139.57480187983597,6230,12
72424,0x3fc0c,False,285,2379470,2387488,7,3,5130010000000632851,0,17,36.23504151502509,139.5748132792243,6227,13
72424,0x3fc0c,False,285,2379470,2387488,7,3,5130010000000632851,0,17,36.23508677730222,139.57482501388873,6223,14
72424,0x3fc0c,False,285,2379470,2387488,7,3,5130010000000632851,0,17,36.23513203957936,139.57483641327704,6219,15
72424,0x3fc0c,False,285,2379470,2387488,7,3,5130010000000632851,0,17,36.235172943266846,139.57484680683697,6215,16
