logTime,Instance ID,Is Retransmission,Path Id,Offset[cm],End Offset[cm],Lane Number,レーン情報数,レーンID,左側車線のレーンID,右側車線のレーンID,Road Type,Lane_Add_Remove_Type,Accelerating Lane,Decelerating Lane,Lane Type,Crossing Type (only tunnel),Left Change Allowed,Right Change Allowed,距離[m],レーン番号,レーン総数,最高速度情報[kmh],MAP Functional Authority,Functional Authority 3,Functional Authority 2,Functional Authority 1,鮮度情報チェック状態,鮮度情報,経路変換状態,SDLinkage有無,ADAS2.0属性数,(1) OSMID,(1) 道路種別,(1) サブリンク種別,(1) 橋・トンネル属性,信号機情報ID数,道路標示情報ID数,標識情報ID数,Lane Line ID数,(1) Lane Line ID,(1) 位置種別,(2) Lane Line ID,(2) 位置種別,Road Edge ID数,(1) Road Edge ID,(2) Road Edge ID,前方レーンID数,(1) 前方レーンID,後方レーンID数,(1) 後方レーンID,(1) 標識情報ID,(2) 後方レーンID,(2) OSMID,(2) 道路種別,(2) サブリンク種別,(2) 橋・トンネル属性,(2) 標識情報ID,(3) 標識情報ID
270074,0x18a64,False,389,10931,19652,1,1,4298163539,0,0,(3) Ramp,0,0,0,(1) Normal Driving Lane,0,0,0,87,1,1,105,1,1073758208,1073741824,0,1,1,変換成功,有効,1,40491193,0,5,0,0,0,0,2,4298163539,0,8593130835,1,2,3196243,4298163539,1,4298163543,1,4298163550.0,,,,,,,,
270353,0x18a6e,False,389,19652,33250,1,1,4298163550,0,0,(3) Ramp,0,0,0,(1) Normal Driving Lane,0,0,0,136,1,1,105,1,1073758208,1073741824,0,1,1,変換成功,有効,2,40491193,0,5,0,0,0,0,2,4298163550,0,8593130846,1,2,3196254,4298163550,1,4298163539,1,4297346976.0,,,406480748,0,5,0,,
270355,0x18a78,False,389,33250,33548,1,1,4297346976,0,0,(3) Ramp,0,0,0,(1) Normal Driving Lane,0,0,0,3,1,1,105,1,1073758208,1073741824,0,1,1,変換成功,有効,1,406480748,0,5,0,0,0,0,2,4297346976,0,8592314272,1,2,2379680,4297346976,1,4298163550,1,4297346975.0,,,,,,,,
270456,0x18a82,False,389,33548,33748,1,1,4297346975,0,0,(3) Ramp,0,0,0,(1) Normal Driving Lane,0,0,0,2,1,1,105,1,1073758208,1073741824,0,1,1,変換成功,有効,1,406480748,0,5,0,0,0,0,2,4297346975,0,8592314271,1,2,2379679,4297346975,1,4297346976,1,4297346974.0,,,,,,,,
270463,0x18a8c,False,389,33748,33948,1,1,4297346974,0,0,(3) Ramp,0,0,0,(1) Normal Driving Lane,0,0,0,2,1,1,105,1,1073758208,1073741824,0,1,1,変換成功,有効,1,406480748,0,5,0,0,0,0,2,4297346974,0,8592314270,1,2,2379678,4297346974,1,4297346975,1,4297346973.0,,,,,,,,
270471,0x18a96,False,389,33948,35346,1,1,4297346973,0,0,(3) Ramp,0,0,0,(1) Normal Driving Lane,0,0,0,14,1,1,105,1,1073758208,1073741824,0,1,1,変換成功,有効,1,406480748,0,5,0,0,0,0,2,4297346973,0,8592314269,1,2,2379677,4297346973,1,4297346974,0,,,,,,,,,
339898,0x18b78,False,255,2510996,2541058,15,4,4295828311,0,8590795607,(0) Controlled Access Divided,0,0,0,(1) Normal Driving Lane,0,0,1,300,1,4,105,1,1073758208,1073741824,0,1,1,変換成功,有効,1,52131419,0,2,0,0,0,1,2,4295828311,0,8590795607,1,2,861015,4295828311,1,4295828355,1,4295828250.0,3.7410024142480216e+16,,,,,,,
339898,0x18b78,False,255,2510996,2541058,15,4,8590795607,4295828311,12885762903,(0) Controlled Access Divided,0,0,0,(1) Normal Driving Lane,0,1,1,300,2,4,105,1,1073758208,1073741824,0,1,1,変換成功,有効,1,52131419,0,2,0,0,0,1,2,8590795607,0,12885762903,1,2,861015,4295828311,1,8590795651,1,8590795546.0,3.7410024142480216e+16,,,,,,,
339898,0x18b78,False,255,2510996,2541058,15,4,12885762903,8590795607,17180730199,(0) Controlled Access Divided,0,0,0,(1) Normal Driving Lane,0,1,1,301,3,4,105,1,1073758208,1073741824,0,1,1,変換成功,有効,1,52131419,0,2,0,0,0,1,2,12885762903,0,17180730199,1,2,861015,4295828311,1,12885762947,1,12885762842.0,3.7410024142480216e+16,,,,,,,
339898,0x18b78,False,255,2510996,2541058,15,4,17180730199,12885762903,0,(0) Controlled Access Divided,0,0,0,(1) Normal Driving Lane,0,1,0,302,4,4,105,1,1073758208,1073741824,0,1,1,変換成功,有効,1,52131419,0,2,0,0,0,1,2,17180730199,0,21475697495,1,2,861015,4295828311,1,17180730243,2,17180730138.0,3.7410024142480216e+16,21475697434.0,,,,,,
