logTime,Instance ID,Is Retransmission,Path Id,Offset[cm],End Offset[cm],Lane Number,Lane Line形状情報数,Lane Line ID,形状要素点数,緯度[deg],経度[deg],高さ[m]
85101,0x18729,False,362,1139280,1154273,15,5,4295828445,26,34.11490767125853,-117.97780869481568,88.826
85101,0x18729,False,362,1139280,1154273,15,5,4295828445,26,34.114966847494934,-117.97775890631084,89.049
85101,0x18729,False,362,1139280,1154273,15,5,4295828445,26,34.1151136146195,-117.97763225575389,89.611
85101,0x18729,False,362,1139280,1154273,15,5,4295828445,26,34.115150075898306,-117.97760023688376,89.741
85101,0x18729,False,362,1139280,1154273,15,5,4295828445,26,34.11517916110232,-117.97757450444102,89.847
85101,0x18729,False,362,1139280,1154273,15,5,4295828445,26,34.11519366179481,-117.97756159631012,89.902
85101,0x18729,False,362,1139280,1154273,15,5,4295828445,26,34.1152081624873,-117.97754868817924,89.957
85101,0x18729,False,362,1139280,1154273,15,5,4295828445,26,34.11523708005325,-117.97752262046038,90.071
85101,0x18729,False,362,1139280,1154273,15,5,4295828445,26,34.11525878918247,-117.97750300680694,90.158
85101,0x18729,False,362,1139280,1154273,15,5,4295828445,26,34.11532307837981,-117.97744324383731,90.414
85101,0x18729,False,362,1139280,1154273,15,5,4295828445,26,34.11534436841387,-117.97742304345067,90.496
85101,0x18729,False,362,1139280,1154273,15,5,8590795741,26,34.114191772908484,-117.97829098952428,86.214
85101,0x18729,False,362,1139280,1154273,15,5,8590795741,26,34.114262432352234,-117.97824354795233,86.455
85101,0x18729,False,362,1139280,1154273,15,5,8590795741,26,34.114332672700826,-117.97819535200908,86.706
85101,0x18729,False,362,1139280,1154273,15,5,8590795741,26,34.1144025777733,-117.97814631787551,86.952
85101,0x18729,False,362,1139280,1154273,15,5,8590795741,26,34.114472147569636,-117.97809627791356,87.188
85101,0x18729,False,362,1139280,1154273,15,5,8590795741,26,34.11454121445178,-117.97804556739936,87.44
85101,0x18729,False,362,1139280,1154273,15,5,8590795741,26,34.11461002987684,-117.97799427015194,87.697
85101,0x18729,False,362,1139280,1154273,15,5,8590795741,26,34.114678342387705,-117.97794221853324,87.939
85101,0x18729,False,362,1139280,1154273,15,5,8590795741,26,34.11474640344147,-117.97788941254325,88.173
85101,0x18729,False,362,1139280,1154273,15,5,8590795741,26,34.114776494473865,-117.97786569175726,88.278
85101,0x18729,False,362,1139280,1154273,15,5,8590795741,26,34.11480650168723,-117.97784180333322,88.384
85101,0x18729,False,362,1139280,1154273,15,5,8590795741,26,34.11481396158105,-117.97783576836294,88.411
85101,0x18729,False,362,1139280,1154273,15,5,8590795741,26,34.1148288813687,-117.97782369842237,88.465
85101,0x18729,False,362,1139280,1154273,15,5,8590795741,26,34.11485863712497,-117.97779939090316,88.574
85101,0x18729,False,362,1139280,1154273,15,5,8590795741,26,34.114880932987404,-117.97778103453521,88.657
85101,0x18729,False,362,1139280,1154273,15,5,8590795741,26,34.1148883090622,-117.9777749157459,88.685
85101,0x18729,False,362,1139280,1154273,15,5,8590795741,26,34.114947317660544,-117.97772537869814,88.91
85101,0x18729,False,362,1139280,1154273,15,5,8590795741,26,34.11509366568995,-117.97759939869344,89.459
85101,0x18729,False,362,1139280,1154273,15,5,8590795741,26,34.115129959330694,-117.97756746364234,89.59
85101,0x18729,False,362,1139280,1154273,15,5,8590795741,26,34.11515887689664,-117.97754173119961,89.697
85101,0x18729,False,362,1139280,1154273,15,5,8590795741,26,34.1151732937701,-117.97752873924969,89.753
85101,0x18729,False,362,1139280,1154273,15,5,8590795741,26,34.11518762682452,-117.97751574729978,89.811
85101,0x18729,False,362,1139280,1154273,15,5,8590795741,26,34.115216292933376,-117.97748959576187,89.929
85101,0x18729,False,362,1139280,1154273,15,5,8590795741,26,34.1152377506055,-117.97746989828941,90.018
85101,0x18729,False,362,1139280,1154273,15,5,8590795741,26,34.115301704526715,-117.97741030295785,90.272
85101,0x18729,False,362,1139280,1154273,15,5,8590795741,26,34.11532299456078,-117.97739027020927,90.351
85101,0x18729,False,362,1139280,1154273,15,5,12885763037,26,34.11417584729245,-117.97825595316903,86.039
85101,0x18729,False,362,1139280,1154273,15,5,12885763037,26,34.11424617146008,-117.97820851159706,86.286
85101,0x18729,False,362,1139280,1154273,15,5,12885763037,26,34.114316076532546,-117.978160818568,86.542
85101,0x18729,False,362,1139280,1154273,15,5,12885763037,26,34.11438589778598,-117.97811245498669,86.796
85101,0x18729,False,362,1139280,1154273,15,5,12885763037,26,34.11445563522038,-117.97806316939604,87.04
85101,0x18729,False,362,1139280,1154273,15,5,12885763037,26,34.114524618283504,-117.97801279415796,87.28
85101,0x18729,False,362,1139280,1154273,15,5,12885763037,26,34.114592846975334,-117.9779614130915,87.518
85101,0x18729,False,362,1139280,1154273,15,5,12885763037,26,34.114660656572006,-117.9779091100157,87.754
85101,0x18729,False,362,1139280,1154273,15,5,12885763037,26,34.114728298530615,-117.97785638784474,87.998
85101,0x18729,False,362,1139280,1154273,15,5,12885763037,26,34.114758305743976,-117.97783283469683,88.111
85101,0x18729,False,362,1139280,1154273,15,5,12885763037,26,34.11478831295734,-117.97780911391084,88.223
85101,0x18729,False,362,1139280,1154273,15,5,12885763037,26,34.11479577285117,-117.97780316275959,88.251
85101,0x18729,False,362,1139280,1154273,15,5,12885763037,26,34.11481069263881,-117.97779117663805,88.306
85101,0x18729,False,362,1139280,1154273,15,5,12885763037,26,34.11484036457605,-117.97776703675692,88.413
85101,0x18729,False,362,1139280,1154273,15,5,12885763037,26,34.11486249280043,-117.97774868038896,88.492
85101,0x18729,False,362,1139280,1154273,15,5,12885763037,26,34.11486986887522,-117.97774256159964,88.518
85101,0x18729,False,362,1139280,1154273,15,5,12885763037,26,34.114928626016464,-117.97769319218996,88.731
85101,0x18729,False,362,1139280,1154273,15,5,12885763037,26,34.11507438731265,-117.97756763128041,89.3
85101,0x18729,False,362,1139280,1154273,15,5,12885763037,26,34.11511051331533,-117.97753569622932,89.439
85101,0x18729,False,362,1139280,1154273,15,5,12885763037,26,34.11513934706225,-117.97751004760562,89.549
85101,0x18729,False,362,1139280,1154273,15,5,12885763037,26,34.11515368011667,-117.97749713947472,89.604
85101,0x18729,False,362,1139280,1154273,15,5,12885763037,26,34.1151680131711,-117.97748423134384,89.658
85101,0x18729,False,362,1139280,1154273,15,5,12885763037,26,34.11519651164189,-117.97745816362497,89.766
85101,0x18729,False,362,1139280,1154273,15,5,12885763037,26,34.11521788549498,-117.97743854997154,89.847
85101,0x18729,False,362,1139280,1154273,15,5,12885763037,26,34.1152815879591,-117.9773792899161,90.095
85101,0x18729,False,362,1139280,1154273,15,5,12885763037,26,34.115302710355095,-117.97735934098655,90.178
85101,0x18729,False,362,1139280,1154273,15,5,17180730333,26,34.11415975403836,-117.97822058153763,85.907
85101,0x18729,False,362,1139280,1154273,15,5,17180730333,26,34.11422991056792,-117.97817347524179,86.154
85101,0x18729,False,362,1139280,1154273,15,5,17180730333,26,34.11429939654523,-117.9781259498508,86.397
85101,0x18729,False,362,1139280,1154273,15,5,17180730333,26,34.11436888252254,-117.97807783772659,86.64
85101,0x18729,False,362,1139280,1154273,15,5,17180730333,26,34.11443845231888,-117.97802871977399,86.884
85101,0x18729,False,362,1139280,1154273,15,5,17180730333,26,34.11450735156296,-117.9779788474501,87.13
