logTime,Instance ID,Is Retransmission,Path Id,Offset[cm],End Offset[cm],Lane Number,区画線数,対象の区画線ID,対象の区画線の親区画線のID,MMS測位誤差[mm],レーザー測位誤差[mm],道路構成地物ID,区画線種別,区画線付加属性フラグ,始点側線幅[cm],終点側線幅[cm]
811770,0x3fec9,False,292,2432609,2440520,7,6,1.7488013870193997e+18,-1,4294967295.0,4294967295.0,4294967295.0,-1,0,0,0
811770,0x3fec9,False,292,2432609,2440520,7,6,1.7488013870193997e+18,-1,4294967295.0,4294967295.0,4294967295.0,-1,0,0,0
811770,0x3fec9,False,292,2432609,2440520,7,6,1.7488013864825288e+18,-1,445.0,215.0,3221291520.0,2,48,15,15
811770,0x3fec9,False,292,2432609,2440520,7,6,1.7488013864825288e+18,-1,441.0,220.0,3221291776.0,1,16,20,20
840240,0x3ff0a,False,285,2432609,2440520,7,6,1.7488013864825288e+18,-1,292.0,188.0,3221291776.0,1,32,20,20
840240,0x3ff0a,False,285,2432609,2440520,7,6,1.7488013864825288e+18,-1,237.0,188.0,3221291520.0,2,48,15,15
840240,0x3ff0a,False,285,2432609,2440520,7,6,1.7488013870193997e+18,-1,4294967295.0,4294967295.0,4294967295.0,-1,0,0,0
840240,0x3ff0a,False,285,2432609,2440520,7,6,1.7488013870193997e+18,-1,4294967295.0,4294967295.0,4294967295.0,-1,0,0,0
840240,0x3ff0a,False,285,2432609,2440520,7,6,1.7488013864825288e+18,-1,445.0,215.0,3221291520.0,2,48,15,15
840240,0x3ff0a,False,285,2432609,2440520,7,6,1.7488013864825288e+18,-1,441.0,220.0,3221291776.0,1,16,20,20
940224,0x3ff73,False,285,2440520,2448488,7,6,1.7488013864825288e+18,-1,336.0,188.0,3221291776.0,1,32,20,20
940224,0x3ff73,False,285,2440520,2448488,7,6,1.7488013864825288e+18,-1,488.0,189.0,3221291520.0,2,48,15,15
940224,0x3ff73,False,285,2440520,2448488,7,6,1.7488013870193997e+18,-1,4294967295.0,4294967295.0,4294967295.0,-1,0,0,0
940224,0x3ff73,False,285,2440520,2448488,7,6,1.7488013870193997e+18,-1,4294967295.0,4294967295.0,4294967295.0,-1,0,0,0
940224,0x3ff73,False,285,2440520,2448488,7,6,1.7488013864825288e+18,-1,511.0,214.0,3221291520.0,2,48,15,15
940224,0x3ff73,False,285,2440520,2448488,7,6,1.7488013864825288e+18,-1,510.0,219.0,3221291776.0,1,16,20,20
978159,0x3ffb2,False,292,2440520,2448488,7,6,1.7488013864825288e+18,-1,336.0,188.0,3221291776.0,1,32,20,20
978159,0x3ffb2,False,292,2440520,2448488,7,6,1.7488013864825288e+18,-1,488.0,189.0,3221291520.0,2,48,15,15
978159,0x3ffb2,False,292,2440520,2448488,7,6,1.7488013870193997e+18,-1,4294967295.0,4294967295.0,4294967295.0,-1,0,0,0
978159,0x3ffb2,False,292,2440520,2448488,7,6,1.7488013870193997e+18,-1,4294967295.0,4294967295.0,4294967295.0,-1,0,0,0
978159,0x3ffb2,False,292,2440520,2448488,7,6,1.7488013864825288e+18,-1,511.0,214.0,3221291520.0,2,48,15,15
978159,0x3ffb2,False,292,2440520,2448488,7,6,1.7488013864825288e+18,-1,510.0,219.0,3221291776.0,1,16,20,20
1006422,0x4000b,False,285,2448488,2456494,7,6,1.7488013864825288e+18,-1,649.0,187.0,3221291776.0,1,32,20,20
1006422,0x4000b,False,285,2448488,2456494,7,6,1.7488013864825288e+18,-1,642.0,188.0,3221291520.0,2,48,15,15
1006422,0x4000b,False,285,2448488,2456494,7,6,1.7488013870193997e+18,-1,4294967295.0,4294967295.0,4294967295.0,-1,0,0,0
